alice_girls_shiny_heart,Alice Girls ☆ Shiny Heart
eikou_no_guardian_battle,栄光のガーディアンバトル
unmei_no_clan_battle,運命のクランバトル
the_girls_of_armament,THE GIRLS OF ARMAMENT
sakura_machizaka_stories,桜待坂Stories
sakura_spirit,Sakura Spirit
tales_of_pixiv,Tales of pixiv
my_daily_life_in_the_otaku_club_isn't_normal,MY DAILY LIFE IN THE OTAKU CLUB ISN'T NORMAL
mahou_shoujo_lyrical_nanoha_a's_portable:_the_battle_of_aces,魔法少女リリカルなのはA's PORTABLE -THE BATTLE OF ACES-
saturday_night_fever,サタデー・ナイト・フィーバー
friday_night_funkin',Friday Night Funkin'
tell_your_world_(vocaloid),Tell Your World（VOCALOID）
seven_knights,セブンナイツ
lunar:_the_silver_star,ルナ ザ・シルバースター
bakugan_battle_brawlers,爆丸 バトルブローラーズ
galaxy_fight,GALAXY FIGHT: UNIVERSAL WARRIORS
castlevania:_dawn_of_sorrow,悪魔城ドラキュラ 蒼月の十字架
sword_world,ソード・ワールド
nights_into_dreams,NiGHTS into dreams...
world_of_final_fantasy,ワールド オブ ファイナルファンタジー
saturday_night_live,サタデー・ナイト・ライブ
legend_of_the_cryptids,Legend of the Cryptids
world_of_darkness,World of Darkness
ragnarok_online_2:_legend_of_the_second,Ragnarok Online 2: Legend of the Second
eternity_sword_series,The Eternity Sword Series
missing_stars,Missing Stars
lout_of_count's_family,Lout of Count's Family
aotu_world,AOTU World
legend_of_queen_opala,Legend of Queen Opala
sakura_tale,さくらテイル -the tale of cherry blossoms septet-
magical_tale,まじかる☆ている
imouto_no_katachi,イモウトノカタチ
weapon_girls,ウエポンガールズ
wild_girls,野生少女
girls_of_the_wild's,Girls of the Wild's
unreal_night_girls,Unreal Night Girls
monster_world,モンスターワールド
venus_blade,ヴィーナス†ブレイド
pink_no_ayumi!,ぴんくのあゆみ!
tenco's_story,TENCO's STORY
bunny_and_fox_world,Bunny and Fox World
jewel_knights,Jewel Knights
