2014	new_year:443 thighhighs:62 multiple_girls:58 brown_hair:57 smile:53 blonde_hair:50 blue_eyes:48 gloves:44 hair_ornament:43 long_hair:38 skirt:37 short_hair:36 solo:34 black_hair:33 1girl:31 open_mouth:30 large_breasts:20 breasts:16 looking_at_viewer:11 blush:8
2015	new_year:493 sheep_horns:473 happy_new_year:451 kimono:160 artist_name:159 horns:157 signature:144 japanese_clothes:143 flower:87 brown_eyes:64 thighhighs:63 twintails:62 smile:61 brown_hair:60 blue_eyes:53 green_eyes:52 very_long_hair:51 multiple_girls:47 blonde_hair:47 long_hair:44
2016	new_year:446 happy_new_year:420 artist_name:189 kimono:177 signature:176 japanese_clothes:156 flower:101 :d:88 full_body:77 brown_eyes:76 brown_hair:72 smile:69 hair_ornament:68 twintails:66 hair_ribbon:62 ribbon:61 thighhighs:58 multiple_girls:55 holding:55 hat:55
2017	year_of_the_rooster:716 new_year:522 happy_new_year:497 chinese_zodiac:413 bird:286 obi:266 floral_print:248 kimono:244 sash:233 japanese_clothes:216 dated:212 signature:183 artist_name:183 wide_sleeves:172 hair_flower:152 flower:121 :d:107 hair_ornament:89 full_body:81 smile:79
2018	year_of_the_dog:749 new_year:494 happy_new_year:475 chinese_zodiac:446 dog:367 dog_ears:282 obi:264 floral_print:243 kimono:243 sash:228 japanese_clothes:214 dated:213 signature:192 artist_name:171 wide_sleeves:168 hair_flower:145 :d:121 flower:114 hair_ornament:82 holding:80
2019	year_of_the_pig:714 new_year:459 happy_new_year:449 chinese_zodiac:409 dated:281 floral_print:235 obi:232 signature:216 kimono:214 sash:196 artist_name:185 japanese_clothes:183 wide_sleeves:156 hair_flower:136 flower:111 :d:108 hair_ornament:84 holding:84 long_sleeves:82 smile:82
2020	year_of_the_rat:780 chinese_zodiac:507 happy_new_year:500 new_year:496 mouse_ears:426 mouse_tail:383 dated:255 obi:242 floral_print:232 kimono:225 sash:208 signature:202 japanese_clothes:196 artist_name:181 wide_sleeves:174 english_text:158 hair_flower:139 food:116 flower:115 animal_ears:111
2021	year_of_the_ox:795 chinese_zodiac:595 cow_print:558 cow_horns:534 new_year:527 cow_ears:524 happy_new_year:512 cow_tail:489 cow_print_thighhighs:483 cow_print_bikini:468 cow_print_gloves:462 ear_tag:459 cow_girl:457 cowbell:440 print_thighhighs:438 animal_print:437 print_gloves:416 print_bikini:410 fake_horns:351 neck_bell:341
2022	year_of_the_tiger:770 chinese_zodiac:588 tiger_tail:551 tiger_print:547 tiger_ears:547 happy_new_year:529 tiger:524 new_year:522 tiger_girl:466 animal_print:367 paw_gloves:323 claw_pose:320 animal_hands:307 dated:285 kimono:218 obi:212 floral_print:211 artist_name:184 japanese_clothes:184 sash:181
2023	year_of_the_rabbit:799 chinese_zodiac:619 happy_new_year:582 new_year:459 rabbit:384 rabbit_ears:340 playboy_bunny:321 rabbit_tail:321 strapless_leotard:308 fake_animal_ears:299 rabbit_girl:286 black_leotard:278 fake_tail:267 dated:261 leotard:259 detached_collar:253 strapless:232 wrist_cuffs:228 obi:218 kimono:217
2024	year_of_the_dragon:730 happy_new_year:525 chinese_zodiac:510 new_year:426 dragon:353 dragon_tail:334 dragon_horns:326 dragon_girl:311 dated:297 kimono:236 china_dress:236 obi:220 floral_print:218 chinese_clothes:208 japanese_clothes:203 sash:191 wide_sleeves:164 signature:162 artist_name:162 horns:162
2025	year_of_the_snake:801 happy_new_year:615 chinese_zodiac:562 snake:509 new_year:489 kimono:306 obi:286 floral_print:268 japanese_clothes:267 sash:253 wide_sleeves:197 hair_flower:175 alternate_costume:127 flower:126 tongue:112 artist_name:112 hair_ornament:102 white_hair:95 holding:83 multicolored_hair:77
22/7	braid:172 brown_eyes:146 hair_ornament:126 bow:115 brown_hair:96 shirt:68 looking_at_viewer:64 smile:56 short_hair:51 long_hair:46 1girl:43 solo:41 open_mouth:33 blush:16 breasts:11
25-ji_miku	heterochromia:425 twintails:235 grey_hair:227 ribbon:182 very_long_hair:174 dress:140 long_sleeves:138 multiple_girls:135 shirt:115 blue_eyes:115 long_hair:83 looking_at_viewer:35 solo:4
25-ji_nightcord_de._(project_sekai)	1other:498 3girls:330 pink_eyes:296 purple_hair:257 pink_hair:251 brown_eyes:210 multiple_girls:200 brown_hair:177 blue_eyes:141 short_hair:114 long_hair:80
2b_(nier:automata)	black_blindfold:849 feather-trimmed_sleeves:810 blindfold:798 no_blindfold:769 covered_eyes:725 virtuous_contract:671 mole_under_mouth:617 feather_trim:611 thighhighs_under_boots:599 back_cutout:594 thong_leotard:552 white_leotard:526 juliet_sleeves:512 black_hairband:509 vambraces:462 cleavage_cutout:448 thigh_boots:440 clothing_cutout:439 highleg_leotard:434 drone:433
2boys	multiple_boys:883 yaoi:719 mmf_threesome:612 male_focus:553 male_penetrated:523 threesome:490 bara:468 muscular_male:458 pectorals:454 spitroast:449 brothers:443 group_sex:441 large_pectorals:436 facial_hair:434 clothed_male_nude_male:427 father_and_son:427 onii-shota:421 pectoral_grab:419 ejaculating_while_penetrated:413 anal:409
2channel	1girl:15
2girls	multiple_girls:849 yuri:595 sisters:404 looking_at_another:377 ffm_threesome:366 siblings:360 holding_hands:349 symmetrical_docking:348 asymmetrical_docking:348 hug:341 futa_with_female:339 eye_contact:329 breast_press:316 twins:313 kiss:312 mother_and_daughter:310 dual_persona:302 teamwork_(sexual):298 wife_and_wife:295 face-to-face:290
2koma	comic:607 instant_loss:578 silent_comic:432 speech_bubble:375 sepia:334 mating_press:331 emphasis_lines:321 meme:310 scene_reference:301 naval_uniform:300 thought_bubble:283 english_text:282 nervous_sweating:279 ...:277 +++:275 spoken_ellipsis:274 sound_effects:273 tracen_school_uniform:266 ^^^:263 motion_lines:263
2others	multiple_others:901 gem_uniform_(houseki_no_kuni):575 other_focus:558 ambiguous_gender:474 androgynous:431 furry:257 helmet:251 scenery:226 pokemon_(creature):206 colored_skin:181 glowing:175 mask:164 looking_at_another:156 holding_weapon:152 solo_focus:152 armor:147 holding_sword:141 sparkle:139 english_text:138 weapon:137
3.1-tan	loli:333 blunt_bangs:305 hair_bow:262 bow:196 long_hair:92 blush:67 solo:61 1girl:53
35p_(sakura_miko)	virtual_youtuber:355 bell:340 x_hair_ornament:313 pink_hair:289 ahoge:288 hairclip:275 green_eyes:266 official_alternate_costume:263 plaid_clothes:263 hair_ornament:192 detached_sleeves:177 alternate_costume:150 frills:144 white_shirt:124 hair_between_eyes:124 hat:120 skirt:116 thighhighs:106 holding:96 shirt:87
37_(reverse:1999)	toga:811 ancient_greek_clothes:746 greco-roman_clothes:734 gold_choker:692 blue_hair:249 very_long_hair:183 blue_eyes:153 bare_shoulders:150 hair_between_eyes:141 long_hair:89 solo:28 1girl:14
39	miku_day:739 aqua_necktie:482 aqua_hair:437 headset:415 black_sleeves:415 aqua_eyes:356 grey_shirt:353 sleeveless_shirt:319 headphones:310 necktie:286 detached_sleeves:285 twintails:279 tattoo:279 thigh_boots:268 sleeveless:235 very_long_hair:217 black_skirt:213 character_name:197 nail_polish:194 collared_shirt:177
3:	embarrassed:278 frown:274 wavy_mouth:218 v-shaped_eyebrows:212 furrowed_brow:205 tsurime:204 nose_blush:198 covering_privates:197 closed_mouth:184 bow_panties:178 ass_visible_through_thighs:164 flying_sweatdrops:163 string_bikini:161 lifting_own_clothes:159 eyes_visible_through_hair:156 hand_on_own_chest:154 sweatdrop:152 underwear_only:149 thigh_gap:149 halterneck:144
3boys	multiple_boys:682 gangbang:669 mmm_threesome:571 group_sex:569 double_handjob:547 handjob:455 boy_sandwich:444 triple_penetration:435 halfling:418 orgy:417 dwarf:414 surrounded_by_penises:405 rape:392 spitroast:388 double_penetration:378 hairjob:376 long_beard:372 father_and_son:372 brothers:368 gloved_handjob:368
3d	low_poly:644 bouncing_ass:580 moaning:561 3d_background:506 bouncing_breasts:419 blinking:414 realistic:377 uncensored:369 mobile_suit:368 science_fiction:316 reverse_cowgirl_position:296 mecha:295 large_penis:293 dancing:275 no_humans:273 robot:263 sex_from_behind:261 machinery:256 sex:254 anal:252
3d_background	3d:506 bar_censor:342 pussy:307 anus:302 heart-shaped_pupils:296 female_pubic_hair:275 virtual_youtuber:274 censored:270 pussy_juice:265 spread_legs:265 symbol-shaped_pupils:254 pubic_hair:245 toes:222 feet:220 nipples:218 completely_nude:207 legs:206 streaked_hair:194 nude:188 barefoot:184
3girls	multiple_girls:527 girl_sandwich:483 fff_threesome:477 sandwiched:461 chimame-tai:379 grass_root_youkai_network:377 triplets:377 sanbaka_(nijisanji):377 straylight_(idolmaster):374 tea_party_(blue_archive):368 startend_(hololive):368 new_generations_(idolmaster):366 triad_primus_(idolmaster):358 4koma:349 v_sisters:342 comic:338 25-ji_nightcord_de._(project_sekai):330 harem:318 multiple_persona:300 jealous:290
3koma	comic:550 silent_comic:458 speech_bubble:326 ...:319 emphasis_lines:315 spoken_ellipsis:307 +++:301 !?:286 gameplay_mechanics:280 tracen_school_uniform:279 ?:277 tasuki:276 !:274 ^^^:274 english_text:273 thought_bubble:270 notice_lines:267 anger_vein:263 o_o:262 shaded_face:255
3others	multiple_others:789 helmet:273 solo_focus:160 holding_weapon:158 weapon:130 outdoors:129 holding:126 pants:120 food:107 closed_eyes:88 standing:85 gloves:56 jacket:54 sitting:52 1boy:48 shirt:47 brown_hair:42 short_hair:41 white_shirt:40 hat:39
4-finger_heart_hands	heart_hands:813 heart_in_heart_hands:798 heart-shaped_boob_challenge:650 heart_hands_duo:611 heart:387 enmaided:270 frilled_apron:227 maid_apron:226 maid_headdress:221 ;d:221 maid:220 white_apron:213 hands_up:202 one_eye_closed:187 apron:185 wrist_cuffs:181 puffy_short_sleeves:162 heart-shaped_pupils:151 frills:148 puffy_sleeves:141
404_(girls'_frontline)	yellow_armband:712 scar_across_eye:559 scar_on_face:472 armband:440 scar:436 rifle:430 4girls:419 beret:365 one_side_up:360 gun:343 grey_hair:221 weapon:219 multiple_girls:205 jacket:191 green_eyes:188 twintails:187 hat:182 brown_hair:169 brown_eyes:165 hair_ornament:143
4boys	multiple_boys:592 gangbang:591 surrounded_by_penises:515 double_handjob:494 group_sex:486 orgy:430 handjob:405 bukkake:396 double_penetration:385 spitroast:360 brothers:356 gloved_handjob:343 rape:343 male_masturbation:341 facial_hair:331 cum_on_hair:323 dark-skinned_male:321 mustache:317 fox_boy:312 everyone:311
4chan	1girl:20
4girls	kessoku_band:529 problem_solver_68_(blue_archive):466 noctchill_(idolmaster):456 multiple_girls:441 game_development_department_(blue_archive):441 nepolabo:436 rabbit_platoon_(blue_archive):435 make-up_work_club_(blue_archive):423 after-school_sweets_club_(blue_archive):422 hololive_gamers:420 404_(girls'_frontline):419 team_9_(touhou):395 harem:354 lineup:349 4koma:336 ho-kago_tea_time:333 duckling:311 comic:310 shimokitazawa_high_school_uniform:309 column_lineup:307
4koma	comic:686 multiple_4koma:631 square_4koma:606 real_life_insert:567 yukkuri_shiteitte_ne:518 artist_self-insert:507 silent_comic:483 o_o:448 ^^^:448 0_0:438 |_|:422 emphasis_lines:413 =_=:410 +++:408 >_<:400 misunderstanding:375 truth:370 greyscale:355 ...:352 spoken_ellipsis:349
4others	multiple_others:718 holding:110 open_mouth:25 smile:8
5boys	surrounded_by_penises:543 gangbang:531 multiple_boys:529 double_handjob:446 group_sex:430 orgy:405 bukkake:393 handjob:362 everyone:361 facial_hair:334 double_penetration:334 beard:326 mustache:326 rape:323 dark-skinned_male:301 cum_on_hair:295 bald:288 spiked_hair:274 facial:270 cum_in_mouth:269
5girls	ho-kago_tea_time:541 quintuplets:536 holomyth:529 lipps_(idolmaster):495 foreclosure_task_force_(blue_archive):493 holox:480 holoadvent:477 hololive_fantasy:459 cleaning_&_clearing_(blue_archive):449 holocouncil:430 multiple_girls:390 lineup:371 harem:359 column_lineup:353 magical_musket:336 group_picture:324 everyone:319 traditional_nun:314 multiple_4koma:303 multiple_persona:297
5koma	comic:425 character_name:268 speech_bubble:236 3girls:213 greyscale:197 multiple_girls:185 monochrome:182 closed_eyes:164 2girls:121 1boy:116 brown_eyes:106 short_hair:91 brown_hair:90 ahoge:89 ponytail:87 school_uniform:77 twintails:73 black_hair:68 hat:67 green_eyes:66
5others	multiple_others:674
